support_priority_rank,listing_id,name,neighbourhood_cleansed,borough,room_type,minimum_nights,price,peer_median_price,price_gap_pct,available_days,total_days,vacancy_rate,support_reason
139,1275489843344572046,"Elegant NYC loft, Tribeca!",Tribeca,Manhattan,Entire home/apt,30,320.0,180.0,0.7778,365,365,1.0,Strict 30+ night minimum AND price 78% above peer median; 100% vacant.
140,904332116672992001,Peaceful Brooklyn townhouse.,Greenpoint,Brooklyn,Entire home/apt,30,320.0,180.0,0.7778,365,365,1.0,Strict 30+ night minimum AND price 78% above peer median; 100% vacant.
141,636748829958680554,Elegant 1 bedroom apartment in DUMBO,Vinegar Hill,Brooklyn,Entire home/apt,30,318.0,180.0,0.7667,365,365,1.0,Strict 30+ night minimum AND price 77% above peer median; 100% vacant.
142,900756762692073591,Home away from home.,Silver Lake,Staten Island,Private room,60,195.0,111.0,0.7568,365,365,1.0,Strict 60+ night minimum AND price 76% above peer median; 100% vacant.
143,658545811833091501,"Near Columbia Hosp. Subway, Times Sq (Resty Stays)",Washington Heights,Manhattan,Entire home/apt,30,315.0,180.0,0.75,365,365,1.0,Strict 30+ night minimum AND price 75% above peer median; 100% vacant.
144,726579130880945632,Spectacular Lincoln Center Condo in the sky,Upper West Side,Manhattan,Entire home/apt,30,315.0,180.0,0.75,365,365,1.0,Strict 30+ night minimum AND price 75% above peer median; 100% vacant.
145,765563,Big Comfy Beds & Breakfast on the Deck,Bayside,Queens,Entire home/apt,30,314.0,180.0,0.7444,365,365,1.0,Strict 30+ night minimum AND price 74% above peer median; 100% vacant.
146,52861792,Art & Plants,Hell's Kitchen,Manhattan,Entire home/apt,30,311.0,180.0,0.7278,365,365,1.0,Strict 30+ night minimum AND price 73% above peer median; 100% vacant.
147,1436902658002801448,The Harlem Alhambra,Harlem,Manhattan,Entire home/apt,30,307.0,180.0,0.7056,365,365,1.0,Strict 30+ night minimum AND price 71% above peer median; 100% vacant.
148,1240662626849425984,"Prime Location, Clean, Spacious  & Modern Condo",Williamsburg,Brooklyn,Private room,30,188.0,111.0,0.6937,365,365,1.0,Strict 30+ night minimum AND price 69% above peer median; 100% vacant.
149,1526177620317871971,Cozy and spacious room,Bedford-Stuyvesant,Brooklyn,Private room,30,188.0,111.0,0.6937,365,365,1.0,Strict 30+ night minimum AND price 69% above peer median; 100% vacant.
150,744865550787331092,"Cheerful spacious 2 bedroom home, Cozy and unique!",Pelham Gardens,Bronx,Entire home/apt,30,304.0,180.0,0.6889,365,365,1.0,Strict 30+ night minimum AND price 69% above peer median; 100% vacant.
151,53422309,The Brooklyn MoMA,Prospect-Lefferts Gardens,Brooklyn,Private room,30,187.0,111.0,0.6847,365,365,1.0,Strict 30+ night minimum AND price 68% above peer median; 100% vacant.
152,22340384,"3Br Duplex, Backyard and Private Parking",Brownsville,Brooklyn,Entire home/apt,30,302.0,180.0,0.6778,365,365,1.0,Strict 30+ night minimum AND price 68% above peer median; 100% vacant.
153,1447798050123921620,Amazing Apartment in Ridgewood! Close to Manhattan,Ridgewood,Queens,Private room,30,186.0,111.0,0.6757,365,365,1.0,Strict 30+ night minimum AND price 68% above peer median; 100% vacant.
154,6105742,Just Steps to Cntrl PK & museums...,Upper East Side,Manhattan,Entire home/apt,30,300.0,180.0,0.6667,365,365,1.0,Strict 30+ night minimum AND price 67% above peer median; 100% vacant.
155,53299304,The Little Paradise - New Owner,Concord,Staten Island,Entire home/apt,30,300.0,180.0,0.6667,365,365,1.0,Strict 30+ night minimum AND price 67% above peer median; 100% vacant.
156,649185211357475650,Huge Manhattan apartment next to the Central park.,Harlem,Manhattan,Entire home/apt,30,300.0,180.0,0.6667,365,365,1.0,Strict 30+ night minimum AND price 67% above peer median; 100% vacant.
157,699862597447371397,Luxury loft in Brooklyn,Greenpoint,Brooklyn,Entire home/apt,30,300.0,180.0,0.6667,365,365,1.0,Strict 30+ night minimum AND price 67% above peer median; 100% vacant.
158,816320941221100049,Flexible Dates Big Room,Bath Beach,Brooklyn,Private room,30,185.0,111.0,0.6667,365,365,1.0,Strict 30+ night minimum AND price 67% above peer median; 100% vacant.
159,1197069668924931193,Modern home in Uptown Manhattan,Washington Heights,Manhattan,Entire home/apt,30,300.0,180.0,0.6667,365,365,1.0,Strict 30+ night minimum AND price 67% above peer median; 100% vacant.
160,1393521548090507109,Large 1 bed Gramercy apartment,Kips Bay,Manhattan,Entire home/apt,30,300.0,180.0,0.6667,365,365,1.0,Strict 30+ night minimum AND price 67% above peer median; 100% vacant.
161,1190846125102630968,"NYC Master EnSuit  Cozy, Quiet, Central, Stylish",Murray Hill,Manhattan,Private room,30,184.0,111.0,0.6577,365,365,1.0,Strict 30+ night minimum AND price 66% above peer median; 100% vacant.
162,29760980,Downtown Brooklyn Loft Space Under The Bridge,Vinegar Hill,Brooklyn,Entire home/apt,30,298.0,180.0,0.6556,365,365,1.0,Strict 30+ night minimum AND price 66% above peer median; 100% vacant.
163,54001498,Cozy 2-bedroom apartment in Mill Basin,Mill Basin,Brooklyn,Entire home/apt,30,298.0,180.0,0.6556,365,365,1.0,Strict 30+ night minimum AND price 66% above peer median; 100% vacant.
164,653909555821012638,Apartment in prime location ft. views!,St. George,Staten Island,Entire home/apt,30,297.0,180.0,0.65,365,365,1.0,Strict 30+ night minimum AND price 65% above peer median; 100% vacant.
165,1386025309506564066,Homey 4BR minutes away from NYC,Woodside,Queens,Private room,30,183.0,111.0,0.6486,365,365,1.0,Strict 30+ night minimum AND price 65% above peer median; 100% vacant.
166,1130487141779723920,NYC LARGE Home close to Subway,Chelsea,Manhattan,Entire home/apt,30,295.0,180.0,0.6389,365,365,1.0,Strict 30+ night minimum AND price 64% above peer median; 100% vacant.
167,1180299545902646491,Trendy Downtown Manhattan Home,East Village,Manhattan,Entire home/apt,30,295.0,180.0,0.6389,365,365,1.0,Strict 30+ night minimum AND price 64% above peer median; 100% vacant.
168,778572000129057354,Cozy/clean room Manhathan.,Murray Hill,Manhattan,Private room,30,181.0,111.0,0.6306,365,365,1.0,Strict 30+ night minimum AND price 63% above peer median; 100% vacant.
169,895681617796889995,Hip garden retreat near Park!,Sunset Park,Brooklyn,Entire home/apt,30,292.0,180.0,0.6222,365,365,1.0,Strict 30+ night minimum AND price 62% above peer median; 100% vacant.
170,10298783,Harlem best locate space,Harlem,Manhattan,Private room,30,180.0,111.0,0.6216,365,365,1.0,Strict 30+ night minimum AND price 62% above peer median; 100% vacant.
171,711501151642222800,"Private Room in Riverdale, Bronx NY",Spuyten Duyvil,Bronx,Private room,30,180.0,111.0,0.6216,365,365,1.0,Strict 30+ night minimum AND price 62% above peer median; 100% vacant.
172,877620974568653457,Oasis on Quincy,Bedford-Stuyvesant,Brooklyn,Private room,30,180.0,111.0,0.6216,365,365,1.0,Strict 30+ night minimum AND price 62% above peer median; 100% vacant.
173,933904777683447370,NYC palace,Upper West Side,Manhattan,Private room,30,180.0,111.0,0.6216,365,365,1.0,Strict 30+ night minimum AND price 62% above peer median; 100% vacant.
174,1326210409527940327,Private Space in Lux Duplex,Bedford-Stuyvesant,Brooklyn,Private room,30,180.0,111.0,0.6216,365,365,1.0,Strict 30+ night minimum AND price 62% above peer median; 100% vacant.
175,51517634,Breakfast N' BedStuy : SUN DRENCHED PRIVATE 3 BDRM,Bedford-Stuyvesant,Brooklyn,Entire home/apt,30,290.0,180.0,0.6111,365,365,1.0,Strict 30+ night minimum AND price 61% above peer median; 100% vacant.
176,658652034156317401,Lovely Vibe in the best part of downtown Manhattan,Financial District,Manhattan,Entire home/apt,31,289.0,180.0,0.6056,365,365,1.0,Strict 31+ night minimum AND price 61% above peer median; 100% vacant.
177,18210106,Amazing Studio in Times Square,Hell's Kitchen,Manhattan,Entire home/apt,30,289.0,180.0,0.6056,365,365,1.0,Strict 30+ night minimum AND price 61% above peer median; 100% vacant.
178,743430766348459803,LUX- High Rise 1 BR Apartment in,Flatbush,Brooklyn,Entire home/apt,30,289.0,180.0,0.6056,365,365,1.0,Strict 30+ night minimum AND price 61% above peer median; 100% vacant.
179,1453247285066432906,14111 Oasis,Springfield Gardens,Queens,Shared room,30,267.0,167.0,0.5988,365,365,1.0,Strict 30+ night minimum AND price 60% above peer median; 100% vacant.
180,1539039131231446418,Upscale studio in outstanding location,Hell's Kitchen,Manhattan,Entire home/apt,30,287.0,180.0,0.5944,365,365,1.0,Strict 30+ night minimum AND price 59% above peer median; 100% vacant.
181,48042018,PLEASENT PLACE TOWN HOUSE,East Harlem,Manhattan,Entire home/apt,30,286.0,180.0,0.5889,365,365,1.0,Strict 30+ night minimum AND price 59% above peer median; 100% vacant.
182,18812046,Prestige Home 10 mins to JFK & 5 mins to UBS Arena,Cambria Heights,Queens,Private room,30,176.0,111.0,0.5856,365,365,1.0,Strict 30+ night minimum AND price 59% above peer median; 100% vacant.
183,46350355,"Spacious homely duplex hidden Gem, Upstairs unit.",Jamaica,Queens,Entire home/apt,30,285.0,180.0,0.5833,365,365,1.0,Strict 30+ night minimum AND price 58% above peer median; 100% vacant.
184,837909730353865269,LUX in Point,College Point,Queens,Entire home/apt,30,285.0,180.0,0.5833,365,365,1.0,Strict 30+ night minimum AND price 58% above peer median; 100% vacant.
185,1488021966541583187,Sunny Bedstuy Stay,Bedford-Stuyvesant,Brooklyn,Private room,30,175.0,111.0,0.5766,365,365,1.0,Strict 30+ night minimum AND price 58% above peer median; 100% vacant.
186,953463529515749184,Your Home Away from Home-JFK 30minWi-Fi & Parking,Flatlands,Brooklyn,Entire home/apt,30,282.0,180.0,0.5667,365,365,1.0,Strict 30+ night minimum AND price 57% above peer median; 100% vacant.
187,4498688,"Large, Immaculate Brooklyn 2 BR apt, sleeps 4-5",Bedford-Stuyvesant,Brooklyn,Entire home/apt,30,281.0,180.0,0.5611,365,365,1.0,Strict 30+ night minimum AND price 56% above peer median; 100% vacant.
188,873663191005881353,Two bedroom luxury-Jackson Heights - Book on Houfy,East Elmhurst,Queens,Entire home/apt,30,281.0,180.0,0.5611,365,365,1.0,Strict 30+ night minimum AND price 56% above peer median; 100% vacant.
189,29158689,Brooklyn APT in heart of urban NYC hustle & bustle,Bedford-Stuyvesant,Brooklyn,Entire home/apt,30,280.0,180.0,0.5556,365,365,1.0,Strict 30+ night minimum AND price 56% above peer median; 100% vacant.
190,981936893723440768,Diva Lee Falls - Road House,East New York,Brooklyn,Entire home/apt,30,280.0,180.0,0.5556,365,365,1.0,Strict 30+ night minimum AND price 56% above peer median; 100% vacant.
191,1244931205585338425,Top-Floor Loft in West Village,West Village,Manhattan,Entire home/apt,30,280.0,180.0,0.5556,365,365,1.0,Strict 30+ night minimum AND price 56% above peer median; 100% vacant.
192,54466,Beautiful Uptown Manhattan apartmnt,Harlem,Manhattan,Private room,30,172.0,111.0,0.5495,365,365,1.0,Strict 30+ night minimum AND price 55% above peer median; 100% vacant.
193,773237631431486588,Home sweet home,Bedford-Stuyvesant,Brooklyn,Private room,30,172.0,111.0,0.5495,365,365,1.0,Strict 30+ night minimum AND price 55% above peer median; 100% vacant.
194,1369814877549642606,Soundview Oasis,Soundview,Bronx,Private room,30,172.0,111.0,0.5495,365,365,1.0,Strict 30+ night minimum AND price 55% above peer median; 100% vacant.
195,26043558,Serene Garden floor-through apartment,Bedford-Stuyvesant,Brooklyn,Entire home/apt,30,277.0,180.0,0.5389,365,365,1.0,Strict 30+ night minimum AND price 54% above peer median; 100% vacant.
196,675793,"Amazing Location, Quiet Space, you will LOVE",West Village,Manhattan,Private room,30,170.0,111.0,0.5315,365,365,1.0,Strict 30+ night minimum AND price 53% above peer median; 100% vacant.
197,53170821,Modern apartment in Bushwick,Bushwick,Brooklyn,Private room,30,170.0,111.0,0.5315,365,365,1.0,Strict 30+ night minimum AND price 53% above peer median; 100% vacant.
198,888385005019472825,Habitación para 1 o 2 personas,Middle Village,Queens,Private room,30,170.0,111.0,0.5315,365,365,1.0,Strict 30+ night minimum AND price 53% above peer median; 100% vacant.
199,888668264357618033,Jasmine Flower Place 40% discount for monthly,Harlem,Manhattan,Private room,30,170.0,111.0,0.5315,365,365,1.0,Strict 30+ night minimum AND price 53% above peer median; 100% vacant.
200,51443431,Luxury 1 Bedroom Duplex Apt in heart of Chelsea,Chelsea,Manhattan,Entire home/apt,30,275.0,180.0,0.5278,365,365,1.0,Strict 30+ night minimum AND price 53% above peer median; 100% vacant.
201,53216577,Lovely one bedroom Apt in New York,Lower East Side,Manhattan,Entire home/apt,30,275.0,180.0,0.5278,365,365,1.0,Strict 30+ night minimum AND price 53% above peer median; 100% vacant.
202,1241669919430658505,Charming 2- Bedroom Brownstone,Bedford-Stuyvesant,Brooklyn,Entire home/apt,30,274.0,180.0,0.5222,365,365,1.0,Strict 30+ night minimum AND price 52% above peer median; 100% vacant.
203,1544429595910354460,Elegant one bedroom apartment in manhattan,Hell's Kitchen,Manhattan,Entire home/apt,30,272.0,180.0,0.5111,365,365,1.0,Strict 30+ night minimum AND price 51% above peer median; 100% vacant.
204,51243376,Lovely 3-Bedroom Apt in  the Heart of Brooklyn,Prospect-Lefferts Gardens,Brooklyn,Entire home/apt,30,270.0,180.0,0.5,365,365,1.0,Strict 30+ night minimum AND price 50% above peer median; 100% vacant.
205,51745454,"Luxury, Best Views in Brooklyn, Pets!",Williamsburg,Brooklyn,Entire home/apt,30,270.0,180.0,0.5,365,365,1.0,Strict 30+ night minimum AND price 50% above peer median; 100% vacant.
206,53484201,Home Away From Home - Modern Apt in Queens,Jackson Heights,Queens,Entire home/apt,30,270.0,180.0,0.5,365,365,1.0,Strict 30+ night minimum AND price 50% above peer median; 100% vacant.
207,655565090602020122,"Romantic Getaway, 1 bedroom unit in New York City",Midtown,Manhattan,Entire home/apt,30,270.0,180.0,0.5,365,365,1.0,Strict 30+ night minimum AND price 50% above peer median; 100% vacant.
208,942119359731768484,Washington Heights Charming Apt,Washington Heights,Manhattan,Entire home/apt,30,270.0,180.0,0.5,365,365,1.0,Strict 30+ night minimum AND price 50% above peer median; 100% vacant.
209,51465312,Gorgeous Room in Amazing Riverfront Manhattan Apt,East Harlem,Manhattan,Private room,30,166.0,111.0,0.4955,365,365,1.0,Strict 30+ night minimum AND price 50% above peer median; 100% vacant.
210,734146997394470152,Nice    bedroom in Queens N.Y.  Private bathroom,Corona,Queens,Private room,30,165.0,111.0,0.4865,365,365,1.0,Strict 30+ night minimum AND price 49% above peer median; 100% vacant.
211,1304549420589033442,private room in apartment,Rego Park,Queens,Private room,30,165.0,111.0,0.4865,365,365,1.0,Strict 30+ night minimum AND price 49% above peer median; 100% vacant.
212,1391399583836820034,Washington Heights II,Washington Heights,Manhattan,Entire home/apt,30,267.0,180.0,0.4833,365,365,1.0,Strict 30+ night minimum AND price 48% above peer median; 100% vacant.
213,565173112445230681,Interior designer renovated 3Bdr Apartment,Melrose,Bronx,Private room,30,164.0,111.0,0.4775,365,365,1.0,Strict 30+ night minimum AND price 48% above peer median; 100% vacant.
214,53699744,Luxury Oversized studio w. comfy bed + art /plants,Financial District,Manhattan,Entire home/apt,30,265.0,180.0,0.4722,365,365,1.0,Strict 30+ night minimum AND price 47% above peer median; 100% vacant.
215,587842332142199671,New York Great  Place To Stay Near Subway & Shops!,Gravesend,Brooklyn,Entire home/apt,30,265.0,180.0,0.4722,365,365,1.0,Strict 30+ night minimum AND price 47% above peer median; 100% vacant.
216,856506863490306029,Cute/Cozy room in safest area 5 min walk to subway,Fort Hamilton,Brooklyn,Private room,30,163.0,111.0,0.4685,365,365,1.0,Strict 30+ night minimum AND price 47% above peer median; 100% vacant.
217,15343302,Lovely 2 bedroom apartment in regal Harlem,Harlem,Manhattan,Entire home/apt,30,263.0,180.0,0.4611,365,365,1.0,Strict 30+ night minimum AND price 46% above peer median; 100% vacant.
218,38624089,Sunset Park's brand new luxury apartment,Sunset Park,Brooklyn,Entire home/apt,30,263.0,180.0,0.4611,365,365,1.0,Strict 30+ night minimum AND price 46% above peer median; 100% vacant.
219,662324653098427815,"Clean, Large Rooms with New Smart TV in each Room",Concourse,Bronx,Private room,30,162.0,111.0,0.4595,365,365,1.0,Strict 30+ night minimum AND price 46% above peer median; 100% vacant.
220,713556504588749227,Large Room w pvt bathroom in heart of Williamsburg,Williamsburg,Brooklyn,Private room,30,161.0,111.0,0.4505,365,365,1.0,Strict 30+ night minimum AND price 45% above peer median; 100% vacant.
221,625607057280802438,Entire Loft in Brooklyn - Clinton Hill,Clinton Hill,Brooklyn,Entire home/apt,30,260.0,180.0,0.4444,365,365,1.0,Strict 30+ night minimum AND price 44% above peer median; 100% vacant.
222,751359271785565868,Lovely 1-bedroom rental unit.,Hell's Kitchen,Manhattan,Entire home/apt,30,260.0,180.0,0.4444,365,365,1.0,Strict 30+ night minimum AND price 44% above peer median; 100% vacant.
223,1293682501063425305,It’s So Grand,Lower East Side,Manhattan,Private room,31,160.0,111.0,0.4414,365,365,1.0,Strict 31+ night minimum AND price 44% above peer median; 100% vacant.
224,718814212312265324,1 Private Room,Bay Ridge,Brooklyn,Private room,30,160.0,111.0,0.4414,365,365,1.0,Strict 30+ night minimum AND price 44% above peer median; 100% vacant.
225,817989481842751653,Stylish guest suite in Bushwick townhouse,Bushwick,Brooklyn,Private room,30,160.0,111.0,0.4414,365,365,1.0,Strict 30+ night minimum AND price 44% above peer median; 100% vacant.
226,856674365271587414,Amazing apartment in Bushwick,Bedford-Stuyvesant,Brooklyn,Private room,30,160.0,111.0,0.4414,365,365,1.0,Strict 30+ night minimum AND price 44% above peer median; 100% vacant.
227,1332026372827145488,Guest suite in Central Harlem,Harlem,Manhattan,Private room,30,160.0,111.0,0.4414,365,365,1.0,Strict 30+ night minimum AND price 44% above peer median; 100% vacant.
228,1456835210172739888,Private room In shared 2 bed,Upper West Side,Manhattan,Private room,30,160.0,111.0,0.4414,365,365,1.0,Strict 30+ night minimum AND price 44% above peer median; 100% vacant.
229,1555491,Beautiful Upper East Side Apartment,Upper East Side,Manhattan,Entire home/apt,30,258.0,180.0,0.4333,365,365,1.0,Strict 30+ night minimum AND price 43% above peer median; 100% vacant.
230,1487071010445520883,Brand New: Emerald & Bloom,Bay Ridge,Brooklyn,Entire home/apt,30,258.0,180.0,0.4333,365,365,1.0,Strict 30+ night minimum AND price 43% above peer median; 100% vacant.
231,1543142525748435769,Chic New York loft in prime location!,Greenwich Village,Manhattan,Entire home/apt,30,258.0,180.0,0.4333,365,365,1.0,Strict 30+ night minimum AND price 43% above peer median; 100% vacant.
232,772607042480055880,The Hidden Gem: 20 Min to NYC | 10 Min to JFK,St. Albans,Queens,Entire home/apt,30,257.0,180.0,0.4278,365,365,1.0,Strict 30+ night minimum AND price 43% above peer median; 100% vacant.
233,779014938888711241,Paradise on Ave I,Flatlands,Brooklyn,Entire home/apt,30,257.0,180.0,0.4278,365,365,1.0,Strict 30+ night minimum AND price 43% above peer median; 100% vacant.
234,1527563288418057875,"Stylish 2BR 1.5B Duplex w/Private Garden, Brooklyn",Prospect-Lefferts Gardens,Brooklyn,Shared room,30,238.0,167.0,0.4251,365,365,1.0,Strict 30+ night minimum AND price 43% above peer median; 100% vacant.
235,563814027308620995,Bed-Stuy Shared living,Bedford-Stuyvesant,Brooklyn,Private room,30,158.0,111.0,0.4234,365,365,1.0,Strict 30+ night minimum AND price 42% above peer median; 100% vacant.
236,883201159097081081,"come enjoy, lay back & relax",St. Albans,Queens,Entire home/apt,30,256.0,180.0,0.4222,365,365,1.0,Strict 30+ night minimum AND price 42% above peer median; 100% vacant.
237,752544464812293243,Amazing Brooklyn loft!,Bedford-Stuyvesant,Brooklyn,Entire home/apt,30,253.0,180.0,0.4056,365,365,1.0,Strict 30+ night minimum AND price 41% above peer median; 100% vacant.
238,851299489251343109,Cozy one bedroom in bayridge bk,Bay Ridge,Brooklyn,Entire home/apt,30,253.0,180.0,0.4056,365,365,1.0,Strict 30+ night minimum AND price 41% above peer median; 100% vacant.
239,660310667265628435,Lovely room in large apartment with private yard,Ridgewood,Queens,Private room,30,156.0,111.0,0.4054,365,365,1.0,Strict 30+ night minimum AND price 41% above peer median; 100% vacant.
240,1081094943593999779,"Eclectic, modern, bright apt",Bushwick,Brooklyn,Entire home/apt,30,252.0,180.0,0.4,365,365,1.0,Strict 30+ night minimum AND price 40% above peer median; 100% vacant.
241,994748134628684461,Cozy and spacious studio,West Village,Manhattan,Entire home/apt,90,250.0,180.0,0.3889,365,365,1.0,Strict 90+ night minimum AND price 39% above peer median; 100% vacant.
242,715070,SPECTACULAR HOLIDAY RENTAL/VILLAGE,Greenwich Village,Manhattan,Entire home/apt,60,250.0,180.0,0.3889,365,365,1.0,Strict 60+ night minimum AND price 39% above peer median; 100% vacant.
243,34132006,Ideal 3BR Apartment - Unbeatable Location,Chelsea,Manhattan,Entire home/apt,30,250.0,180.0,0.3889,365,365,1.0,Strict 30+ night minimum AND price 39% above peer median; 100% vacant.
244,53419788,Lovely 2 bedroom apartment Queens Central Astoria,Ditmars Steinway,Queens,Entire home/apt,30,250.0,180.0,0.3889,365,365,1.0,Strict 30+ night minimum AND price 39% above peer median; 100% vacant.
245,750630709509833993,Open Artist Loft in Prime Bushwick Scene,Bushwick,Brooklyn,Entire home/apt,30,250.0,180.0,0.3889,365,365,1.0,Strict 30+ night minimum AND price 39% above peer median; 100% vacant.
246,876347715276058077,JFK Haven Retreat,Richmond Hill,Queens,Entire home/apt,30,250.0,180.0,0.3889,365,365,1.0,Strict 30+ night minimum AND price 39% above peer median; 100% vacant.
247,1105759211258934651,Rooms in home hosted by Tom (Hung),Bay Ridge,Brooklyn,Private room,30,154.0,111.0,0.3874,365,365,1.0,Strict 30+ night minimum AND price 39% above peer median; 100% vacant.
248,719495891698342037,Lovely 1-Bedroom Penthouse Loft in Park Slope,Park Slope,Brooklyn,Entire home/apt,30,249.0,180.0,0.3833,365,365,1.0,Strict 30+ night minimum AND price 38% above peer median; 100% vacant.
249,1121929936429281111,Amazing NYC Manhattan studio,Morningside Heights,Manhattan,Entire home/apt,30,248.0,180.0,0.3778,365,365,1.0,Strict 30+ night minimum AND price 38% above peer median; 100% vacant.
250,1379385196647368597,View 34,Murray Hill,Manhattan,Entire home/apt,30,248.0,180.0,0.3778,365,365,1.0,Strict 30+ night minimum AND price 38% above peer median; 100% vacant.
251,322037,"Luxury Williamsburg, Brooklyn LOFT",Williamsburg,Brooklyn,Entire home/apt,30,247.0,180.0,0.3722,365,365,1.0,Strict 30+ night minimum AND price 37% above peer median; 100% vacant.
252,805356815376500120,UBS Napoleon Suites near JFK/ UBS Arena & Casino.,Queens Village,Queens,Entire home/apt,30,247.0,180.0,0.3722,365,365,1.0,Strict 30+ night minimum AND price 37% above peer median; 100% vacant.
253,807945843450389326,Brick Wall Room near by Williamsburg Bridge,Williamsburg,Brooklyn,Private room,30,152.0,111.0,0.3694,365,365,1.0,Strict 30+ night minimum AND price 37% above peer median; 100% vacant.
254,1232732872159054205,Elegant Ridgewood Apt Gem | NYC,Ridgewood,Queens,Private room,30,152.0,111.0,0.3694,365,365,1.0,Strict 30+ night minimum AND price 37% above peer median; 100% vacant.
255,841368449428969241,Modern Charming Bklyn Apartment,Bedford-Stuyvesant,Brooklyn,Entire home/apt,356,245.0,180.0,0.3611,365,365,1.0,Strict 356+ night minimum AND price 36% above peer median; 100% vacant.
256,694709585427847036,Lovely one bedroom rental in queens,Astoria,Queens,Entire home/apt,30,245.0,180.0,0.3611,365,365,1.0,Strict 30+ night minimum AND price 36% above peer median; 100% vacant.
257,685706917487823608,1st fl 1 bdrm in duplex apt with backyard driveway,Canarsie,Brooklyn,Private room,30,151.0,111.0,0.3604,365,365,1.0,Strict 30+ night minimum AND price 36% above peer median; 100% vacant.
258,1089849330286362160,Room in Apt / Shared space with Host,Crown Heights,Brooklyn,Private room,30,151.0,111.0,0.3604,365,365,1.0,Strict 30+ night minimum AND price 36% above peer median; 100% vacant.
259,1971540,Sunny Midtown NYC Room,Upper West Side,Manhattan,Private room,30,150.0,111.0,0.3514,365,365,1.0,Strict 30+ night minimum AND price 35% above peer median; 100% vacant.
260,4783902,Stunning 1BD in West Village Duplex,West Village,Manhattan,Private room,30,150.0,111.0,0.3514,365,365,1.0,Strict 30+ night minimum AND price 35% above peer median; 100% vacant.
261,8281889,"Williamsburg, Brooklyn space",Williamsburg,Brooklyn,Private room,30,150.0,111.0,0.3514,365,365,1.0,Strict 30+ night minimum AND price 35% above peer median; 100% vacant.
262,53894411,Cozy Suite w/private backyard space & entry,Flatlands,Brooklyn,Private room,30,150.0,111.0,0.3514,365,365,1.0,Strict 30+ night minimum AND price 35% above peer median; 100% vacant.
263,558732520907162146,D.R.I.P INC,Mount Hope,Bronx,Private room,30,150.0,111.0,0.3514,365,365,1.0,Strict 30+ night minimum AND price 35% above peer median; 100% vacant.
264,629196150330969487,Lovely room in Brooklyn,Bergen Beach,Brooklyn,Private room,30,150.0,111.0,0.3514,365,365,1.0,Strict 30+ night minimum AND price 35% above peer median; 100% vacant.
265,678788359112415515,Light-filled Room Available in Prime Williamsburg,Williamsburg,Brooklyn,Private room,30,150.0,111.0,0.3514,365,365,1.0,Strict 30+ night minimum AND price 35% above peer median; 100% vacant.
266,699799295716034636,Gem  of Ozone Park,South Ozone Park,Queens,Private room,30,150.0,111.0,0.3514,365,365,1.0,Strict 30+ night minimum AND price 35% above peer median; 100% vacant.
267,740405625762067517,Modern and Cozy suite in trendy Bushwick,Bushwick,Brooklyn,Private room,30,150.0,111.0,0.3514,365,365,1.0,Strict 30+ night minimum AND price 35% above peer median; 100% vacant.
268,806899252911679312,Private room for couples,Crown Heights,Brooklyn,Private room,30,150.0,111.0,0.3514,365,365,1.0,Strict 30+ night minimum AND price 35% above peer median; 100% vacant.
269,1043446269533438345,Flatbush unit near #2 & 5 subway,East Flatbush,Brooklyn,Private room,30,150.0,111.0,0.3514,365,365,1.0,Strict 30+ night minimum AND price 35% above peer median; 100% vacant.
270,1406727512633488474,Artsy & Airy Apt in Times Sq!,Hell's Kitchen,Manhattan,Private room,30,150.0,111.0,0.3514,365,365,1.0,Strict 30+ night minimum AND price 35% above peer median; 100% vacant.
271,1464880231410828550,Cozy Spot by JFK & A Train,Ozone Park,Queens,Private room,30,150.0,111.0,0.3514,365,365,1.0,Strict 30+ night minimum AND price 35% above peer median; 100% vacant.
272,41840700,Sunny Designer Apartment in Prospect Hts Brooklyn!,Crown Heights,Brooklyn,Entire home/apt,650,243.0,180.0,0.35,323,323,1.0,Strict 650+ night minimum AND price 35% above peer median; 100% vacant.
273,871751061108347115,Spacious Central Apt~ near JFK,South Ozone Park,Queens,Entire home/apt,30,243.0,180.0,0.35,365,365,1.0,Strict 30+ night minimum AND price 35% above peer median; 100% vacant.
274,397034,New York City for All Seasons!,Upper West Side,Manhattan,Private room,30,149.0,111.0,0.3423,365,365,1.0,Strict 30+ night minimum AND price 34% above peer median; 100% vacant.
275,53939267,Lovely 1 bedroom apartment in Queens,Howard Beach,Queens,Private room,30,149.0,111.0,0.3423,365,365,1.0,Strict 30+ night minimum AND price 34% above peer median; 100% vacant.
276,947990637125132193,Tastefully Furnished Luxe 1 Bedroom in Manhattan,Murray Hill,Manhattan,Entire home/apt,180,240.0,180.0,0.3333,365,365,1.0,Strict 180+ night minimum AND price 33% above peer median; 100% vacant.
277,50706815,Stay in charming & centrally located Hells Kitchen,Hell's Kitchen,Manhattan,Entire home/apt,30,240.0,180.0,0.3333,365,365,1.0,Strict 30+ night minimum AND price 33% above peer median; 100% vacant.
278,938529516572780694,New Apartment in Staten Island Between NJ & NY!,Randall Manor,Staten Island,Entire home/apt,30,240.0,180.0,0.3333,365,365,1.0,Strict 30+ night minimum AND price 33% above peer median; 100% vacant.
