support_priority_rank,listing_id,name,neighbourhood_cleansed,borough,room_type,minimum_nights,price,peer_median_price,price_gap_pct,available_days,total_days,vacancy_rate,support_reason
29,1526278815485673713,Luxury NYC stay,Theater District,Manhattan,Private room,30,323.0,111.0,1.9099,365,365,1.0,Strict 30+ night minimum AND price 191% above peer median; 100% vacant.
30,780897141519639753,The Gem Of Brooklyn,Bushwick,Brooklyn,Entire home/apt,30,520.0,180.0,1.8889,365,365,1.0,Strict 30+ night minimum AND price 189% above peer median; 100% vacant.
31,1270917903320485839,Full Floor SoHo Loft (Spring St),SoHo,Manhattan,Entire home/apt,30,520.0,180.0,1.8889,365,365,1.0,Strict 30+ night minimum AND price 189% above peer median; 100% vacant.
32,817650219257594527,Home away from home space in Brooklyn,Midwood,Brooklyn,Entire home/apt,30,502.0,180.0,1.7889,365,365,1.0,Strict 30+ night minimum AND price 179% above peer median; 100% vacant.
33,39603229,Amazing 2 Bedroom in Midtown East & Close to UN,Midtown,Manhattan,Entire home/apt,30,501.0,180.0,1.7833,365,365,1.0,Strict 30+ night minimum AND price 178% above peer median; 100% vacant.
34,690934,*Available 1 year* 5BR Multi-Terrace Sunny Apt!,Park Slope,Brooklyn,Entire home/apt,365,500.0,180.0,1.7778,365,365,1.0,Strict 365+ night minimum AND price 178% above peer median; 100% vacant.
35,887355,2 bedrooms 5-star building midtown,Murray Hill,Manhattan,Entire home/apt,30,500.0,180.0,1.7778,365,365,1.0,Strict 30+ night minimum AND price 178% above peer median; 100% vacant.
36,572620870722180872,Space,East Flatbush,Brooklyn,Entire home/apt,30,500.0,180.0,1.7778,365,365,1.0,Strict 30+ night minimum AND price 178% above peer median; 100% vacant.
37,627371470100795624,2 BDRM penthouse in the heart of the LES,Lower East Side,Manhattan,Entire home/apt,30,490.0,180.0,1.7222,365,365,1.0,Strict 30+ night minimum AND price 172% above peer median; 100% vacant.
38,47281460,One bedroom suite in Classic NYC Brownstone,East Harlem,Manhattan,Private room,30,302.0,111.0,1.7207,365,365,1.0,Strict 30+ night minimum AND price 172% above peer median; 100% vacant.
39,747128578147440471,Cozy NYC Apt Private Patio Msg For Short Term,East Village,Manhattan,Shared room,30,452.0,167.0,1.7066,365,365,1.0,Strict 30+ night minimum AND price 171% above peer median; 100% vacant.
40,903068061959225269,107Studio Events/Theater/Karaoke,East Harlem,Manhattan,Entire home/apt,30,483.0,180.0,1.6833,365,365,1.0,Strict 30+ night minimum AND price 168% above peer median; 100% vacant.
41,746448940630442819,Monthly 2bed furnished,Midtown,Manhattan,Entire home/apt,30,481.0,180.0,1.6722,365,365,1.0,Strict 30+ night minimum AND price 167% above peer median; 100% vacant.
42,37494611,2 Bedroom 1.5 Bathroom Duplex Apt with Backyard,Ridgewood,Queens,Private room,30,295.0,111.0,1.6577,365,365,1.0,Strict 30+ night minimum AND price 166% above peer median; 100% vacant.
43,47276861,Cozy ridgewood 1 bed room apt,Ridgewood,Queens,Entire home/apt,30,476.0,180.0,1.6444,365,365,1.0,Strict 30+ night minimum AND price 164% above peer median; 100% vacant.
44,38640810,Midtown Manhattan Junior Suite.  Sleeps 4.,Midtown,Manhattan,Private room,30,290.0,111.0,1.6126,365,365,1.0,Strict 30+ night minimum AND price 161% above peer median; 100% vacant.
45,903027129454197865,Beautiful Wall Street and Trinity Church One Bed,Financial District,Manhattan,Entire home/apt,30,465.0,180.0,1.5833,365,365,1.0,Strict 30+ night minimum AND price 158% above peer median; 100% vacant.
46,47577248,Beach lovers Dream Choice  with City Nightlife,Sheepshead Bay,Brooklyn,Private room,30,281.0,111.0,1.5315,365,365,1.0,Strict 30+ night minimum AND price 153% above peer median; 100% vacant.
47,1212276901648969170,Williamsburg Bedroom For 2,Williamsburg,Brooklyn,Private room,30,280.0,111.0,1.5225,365,365,1.0,Strict 30+ night minimum AND price 152% above peer median; 100% vacant.
48,52775347,"Beautiful  Appt, Soho/Nolita Book Now!",Nolita,Manhattan,Entire home/apt,30,451.0,180.0,1.5056,365,365,1.0,Strict 30+ night minimum AND price 151% above peer median; 100% vacant.
49,8709068,Great UWS apt with amazing terrace!,Upper West Side,Manhattan,Entire home/apt,30,450.0,180.0,1.5,365,365,1.0,Strict 30+ night minimum AND price 150% above peer median; 100% vacant.
50,15549056,Stay on Madison,East Harlem,Manhattan,Private room,30,276.0,111.0,1.4865,365,365,1.0,Strict 30+ night minimum AND price 149% above peer median; 100% vacant.
51,810121182812488899,UIA x Ubl,Mill Basin,Brooklyn,Entire home/apt,30,444.0,180.0,1.4667,365,365,1.0,Strict 30+ night minimum AND price 147% above peer median; 100% vacant.
52,885767130763705756,Large 2 bedroom heart of Chelsea,Chelsea,Manhattan,Entire home/apt,30,440.0,180.0,1.4444,365,365,1.0,Strict 30+ night minimum AND price 144% above peer median; 100% vacant.
53,39858506,One Bedroom in Time Square:),Midtown,Manhattan,Private room,30,270.0,111.0,1.4324,365,365,1.0,Strict 30+ night minimum AND price 143% above peer median; 100% vacant.
54,1381449297894159322,Luxurious Harlem Home W. Modern Amenities & Patio!,Harlem,Manhattan,Entire home/apt,30,434.0,180.0,1.4111,365,365,1.0,Strict 30+ night minimum AND price 141% above peer median; 100% vacant.
55,673803763328291112,Bright 2-Bedroom Rental Unit in Noho,East Village,Manhattan,Entire home/apt,30,433.0,180.0,1.4056,365,365,1.0,Strict 30+ night minimum AND price 141% above peer median; 100% vacant.
56,1412726161985916200,Cozy Stay Near JFK & A Train,Ozone Park,Queens,Shared room,30,400.0,167.0,1.3952,365,365,1.0,Strict 30+ night minimum AND price 140% above peer median; 100% vacant.
57,35310193,Architectural Digest Style Oasis,Long Island City,Queens,Entire home/apt,30,425.0,180.0,1.3611,365,365,1.0,Strict 30+ night minimum AND price 136% above peer median; 100% vacant.
58,633956160953215663,Amazing NYC residence,East Harlem,Manhattan,Entire home/apt,30,425.0,180.0,1.3611,365,365,1.0,Strict 30+ night minimum AND price 136% above peer median; 100% vacant.
59,21239885,Spacious Studio in the Heart of Harlem!,Harlem,Manhattan,Private room,30,255.0,111.0,1.2973,365,365,1.0,Strict 30+ night minimum AND price 130% above peer median; 100% vacant.
60,647713196690082967,Modern Room w/ balcony in Astoria,Astoria,Queens,Private room,30,251.0,111.0,1.2613,365,365,1.0,Strict 30+ night minimum AND price 126% above peer median; 100% vacant.
61,613045587854720391,Apartamento de nyc cómodo,Washington Heights,Manhattan,Private room,30,250.0,111.0,1.2523,365,365,1.0,Strict 30+ night minimum AND price 125% above peer median; 100% vacant.
62,668015611171512819,Stuyvesant Heights Lovely Rental,Bedford-Stuyvesant,Brooklyn,Private room,30,250.0,111.0,1.2523,365,365,1.0,Strict 30+ night minimum AND price 125% above peer median; 100% vacant.
63,744254980057484501,Private Rooms Spacious Light-Filled Brooklyn Condo,Bedford-Stuyvesant,Brooklyn,Private room,30,250.0,111.0,1.2523,365,365,1.0,Strict 30+ night minimum AND price 125% above peer median; 100% vacant.
64,986960461220624070,Quiet private room on LaurelHill,Washington Heights,Manhattan,Private room,30,250.0,111.0,1.2523,365,365,1.0,Strict 30+ night minimum AND price 125% above peer median; 100% vacant.
65,1313109942824449282,Modern Gem Crown Heights Duplex,Crown Heights,Brooklyn,Private room,30,250.0,111.0,1.2523,365,365,1.0,Strict 30+ night minimum AND price 125% above peer median; 100% vacant.
66,877378924316197141,Modern Apartment in Vibrant Brooklyn,Crown Heights,Brooklyn,Entire home/apt,30,405.0,180.0,1.25,365,365,1.0,Strict 30+ night minimum AND price 125% above peer median; 100% vacant.
67,1536294381058359697,NoLita Haus - Amazing Neighborhood,Nolita,Manhattan,Entire home/apt,30,405.0,180.0,1.25,365,365,1.0,Strict 30+ night minimum AND price 125% above peer median; 100% vacant.
68,51001957,"Newly renovated apartment, 10 mins from Manhattan",Sunnyside,Queens,Private room,30,249.0,111.0,1.2432,365,365,1.0,Strict 30+ night minimum AND price 124% above peer median; 100% vacant.
69,927531075448899720,Private Room in Prospect Heights,Prospect Heights,Brooklyn,Private room,30,247.0,111.0,1.2252,365,365,1.0,Strict 30+ night minimum AND price 123% above peer median; 100% vacant.
