review_month,room_type,review_count
2014-05,Hotel room,2
2014-05,Private room,457
2014-05,Shared room,12
2014-06,Entire home/apt,507
2014-06,Private room,437
2014-06,Shared room,6
2014-07,Entire home/apt,491
2014-07,Hotel room,2
2014-07,Private room,354
2014-07,Shared room,9
2014-08,Entire home/apt,712
2014-08,Private room,555
2014-08,Shared room,18
2014-09,Entire home/apt,796
2014-09,Hotel room,2
2014-09,Private room,657
2014-09,Shared room,13
2014-10,Entire home/apt,885
2014-10,Hotel room,3
2014-10,Private room,721
2014-10,Shared room,11
2014-11,Entire home/apt,691
2014-11,Private room,528
2014-11,Shared room,5
2014-12,Entire home/apt,669
2014-12,Private room,413
2014-12,Shared room,5
2015-01,Entire home/apt,526
2015-01,Private room,356
2015-01,Shared room,5
2015-02,Entire home/apt,382
2015-02,Private room,230
2015-02,Shared room,1
2015-03,Entire home/apt,529
2015-03,Private room,415
2015-03,Shared room,9
2015-04,Entire home/apt,813
2015-04,Hotel room,1
2015-04,Private room,556
2015-04,Shared room,13
2015-05,Entire home/apt,1234
2015-05,Hotel room,1
2015-05,Private room,918
2015-05,Shared room,25
2015-06,Entire home/apt,1125
2015-06,Private room,875
2015-06,Shared room,20
2015-07,Entire home/apt,1180
2015-07,Private room,836
2015-07,Shared room,12
2015-08,Entire home/apt,1362
2015-08,Hotel room,1
2015-08,Private room,1124
2015-08,Shared room,14
2015-09,Entire home/apt,1642
2015-09,Private room,1511
2015-09,Shared room,13
2015-10,Entire home/apt,1667
2015-10,Private room,1602
2015-10,Shared room,15
2015-11,Entire home/apt,1169
2015-11,Private room,988
2015-11,Shared room,12
2015-12,Entire home/apt,1304
2015-12,Hotel room,1
2015-12,Private room,994
2015-12,Shared room,6
2016-01,Entire home/apt,1102
2016-01,Private room,836
2016-01,Shared room,6
2016-02,Entire home/apt,769
2016-02,Private room,553
2016-02,Shared room,10
2016-03,Entire home/apt,1180
2016-03,Hotel room,1
2016-03,Private room,928
2016-03,Shared room,14
2016-04,Entire home/apt,1589
2016-04,Private room,1186
2016-04,Shared room,22
2016-05,Entire home/apt,2114
2016-05,Hotel room,1
2016-05,Private room,1775
2016-05,Shared room,31
2016-06,Entire home/apt,1812
2016-06,Private room,1568
2016-06,Shared room,35
2016-07,Entire home/apt,1938
2016-07,Hotel room,1
2016-07,Private room,1525
2016-07,Shared room,34
2016-08,Entire home/apt,2086
2016-08,Private room,1837
2016-08,Shared room,44
2016-09,Entire home/apt,2520
2016-09,Private room,2426
2016-09,Shared room,50
2016-10,Entire home/apt,2613
2016-10,Private room,2455
2016-10,Shared room,48
2016-11,Entire home/apt,1906
2016-11,Private room,1815
2016-11,Shared room,39
2016-12,Entire home/apt,1764
2016-12,Private room,1688
2016-12,Shared room,28
2017-01,Entire home/apt,1532
2017-01,Private room,1323
2017-01,Shared room,16
2017-02,Entire home/apt,962
2017-02,Hotel room,2
2017-02,Private room,965
2017-02,Shared room,7
2017-03,Entire home/apt,1505
2017-03,Hotel room,7
2017-03,Private room,1610
2017-03,Shared room,19
2017-04,Entire home/apt,2298
2017-04,Hotel room,5
2017-04,Private room,2100
2017-04,Shared room,32
2017-05,Entire home/apt,2678
2017-05,Hotel room,2
2017-05,Private room,2656
2017-05,Shared room,41
