review_year,month_num,month_label,room_type,review_count
2014,12,Dec,Entire home/apt,669
2014,12,Dec,Private room,413
2014,12,Dec,Shared room,5
2015,1,Jan,Entire home/apt,526
2015,1,Jan,Private room,356
2015,1,Jan,Shared room,5
2015,2,Feb,Entire home/apt,382
2015,2,Feb,Private room,230
2015,2,Feb,Shared room,1
2015,3,Mar,Entire home/apt,529
2015,3,Mar,Private room,415
2015,3,Mar,Shared room,9
2015,4,Apr,Entire home/apt,813
2015,4,Apr,Hotel room,1
2015,4,Apr,Private room,556
2015,4,Apr,Shared room,13
2015,5,May,Entire home/apt,1234
2015,5,May,Hotel room,1
2015,5,May,Private room,918
2015,5,May,Shared room,25
2015,6,Jun,Entire home/apt,1125
2015,6,Jun,Private room,875
2015,6,Jun,Shared room,20
2015,7,Jul,Entire home/apt,1180
2015,7,Jul,Private room,836
2015,7,Jul,Shared room,12
2015,8,Aug,Entire home/apt,1362
2015,8,Aug,Hotel room,1
2015,8,Aug,Private room,1124
2015,8,Aug,Shared room,14
2015,9,Sep,Entire home/apt,1642
2015,9,Sep,Private room,1511
2015,9,Sep,Shared room,13
2015,10,Oct,Entire home/apt,1667
2015,10,Oct,Private room,1602
2015,10,Oct,Shared room,15
2015,11,Nov,Entire home/apt,1169
2015,11,Nov,Private room,988
2015,11,Nov,Shared room,12
2015,12,Dec,Entire home/apt,1304
2015,12,Dec,Hotel room,1
2015,12,Dec,Private room,994
2015,12,Dec,Shared room,6
2016,1,Jan,Entire home/apt,1102
2016,1,Jan,Private room,836
2016,1,Jan,Shared room,6
2016,2,Feb,Entire home/apt,769
2016,2,Feb,Private room,553
2016,2,Feb,Shared room,10
2016,3,Mar,Entire home/apt,1180
2016,3,Mar,Hotel room,1
2016,3,Mar,Private room,928
2016,3,Mar,Shared room,14
2016,4,Apr,Entire home/apt,1589
2016,4,Apr,Private room,1186
2016,4,Apr,Shared room,22
2016,5,May,Entire home/apt,2114
2016,5,May,Hotel room,1
2016,5,May,Private room,1775
2016,5,May,Shared room,31
2016,6,Jun,Entire home/apt,1812
2016,6,Jun,Private room,1568
2016,6,Jun,Shared room,35
2016,7,Jul,Entire home/apt,1938
2016,7,Jul,Hotel room,1
2016,7,Jul,Private room,1525
2016,7,Jul,Shared room,34
2016,8,Aug,Entire home/apt,2086
2016,8,Aug,Private room,1837
2016,8,Aug,Shared room,44
2016,9,Sep,Entire home/apt,2520
2016,9,Sep,Private room,2426
2016,9,Sep,Shared room,50
2016,10,Oct,Entire home/apt,2613
2016,10,Oct,Private room,2455
2016,10,Oct,Shared room,48
2016,11,Nov,Entire home/apt,1906
2016,11,Nov,Private room,1815
2016,11,Nov,Shared room,39
2016,12,Dec,Entire home/apt,1764
2016,12,Dec,Private room,1688
2016,12,Dec,Shared room,28
2017,1,Jan,Entire home/apt,1532
2017,1,Jan,Private room,1323
2017,1,Jan,Shared room,16
2017,2,Feb,Entire home/apt,962
2017,2,Feb,Hotel room,2
2017,2,Feb,Private room,965
2017,2,Feb,Shared room,7
2017,3,Mar,Entire home/apt,1505
2017,3,Mar,Hotel room,7
2017,3,Mar,Private room,1610
2017,3,Mar,Shared room,19
2017,4,Apr,Entire home/apt,2298
2017,4,Apr,Hotel room,5
2017,4,Apr,Private room,2100
2017,4,Apr,Shared room,32
2017,5,May,Entire home/apt,2678
2017,5,May,Hotel room,2
2017,5,May,Private room,2656
2017,5,May,Shared room,41
2017,6,Jun,Entire home/apt,2452
