listing_id,latitude,longitude,number_of_reviews_ltm,host_is_superhost,neighbourhood_cleansed
783202,40.73277,-74.00267,38,True,West Village
699472,40.709278,-73.954689,41,True,Williamsburg
804194,40.7072505,-73.9399195,39,True,Williamsburg
945297,40.73024,-73.98147,6,True,East Village
848718,40.66077,-73.9569,23,True,Prospect-Lefferts Gardens
886808,40.75087,-73.80999,72,True,Flushing
1026683,40.82102,-73.92702,27,False,Concourse
1042806,40.75533122045313,-73.81783313404458,38,True,Flushing
924600,40.68838398698687,-73.93455910435819,11,True,Bedford-Stuyvesant
938022,40.7074,-73.94605,7,False,Williamsburg
1117706,40.71481,-73.96006,6,True,Williamsburg
1127770,40.716431,-73.9490627,18,True,Williamsburg
1411811,40.731,-74.00346,38,True,West Village
1255828,40.78255,-73.97922,7,True,Upper West Side
1258651,40.80658,-73.94932,22,True,Harlem
1294973,40.79541,-73.97562,40,True,Upper West Side
1511303,40.66074,-73.95144,25,False,Prospect-Lefferts Gardens
1581579,40.77757,-73.9158,6,True,Ditmars Steinway
1313711,40.65715,-73.94925,30,False,Prospect-Lefferts Gardens
1628156,40.64212527573693,-73.90233613126439,20,True,Canarsie
1354973,40.68423,-73.91747,24,True,Bedford-Stuyvesant
1645181,40.68212,-73.93063,41,True,Bedford-Stuyvesant
1645667,40.68557330547818,-73.95144176364386,27,True,Bedford-Stuyvesant
1656621,40.69191,-73.93901,59,True,Bedford-Stuyvesant
1948494,40.63763,-73.94979,20,True,East Flatbush
1766846,40.73031,-73.98476,29,True,East Village
1918693,40.68578,-73.96093,35,True,Clinton Hill
2267177,40.65234789006254,-74.00416495299471,52,True,Sunset Park
2151479,40.686103216413954,-73.94285640949306,47,True,Bedford-Stuyvesant
2154075,40.68854,-73.94664,6,False,Bedford-Stuyvesant
2284670,40.6281657,-73.9312633,26,True,Flatlands
2385779,40.68827,-73.93648,18,True,Bedford-Stuyvesant
2473861,40.80861,-73.94582,30,True,Harlem
2451647,40.72393308317277,-73.97776633626654,67,True,East Village
2538248,40.81504,-73.94111,18,False,Harlem
2686412,40.68319,-73.96253,15,True,Clinton Hill
2940007,40.71675,-73.98474,7,True,Lower East Side
2949128,40.76374046188888,-73.98954112094876,11,True,Hell's Kitchen
2968070,40.75864,-73.98824,6,True,Theater District
2979714,40.80241,-73.95261,18,True,Harlem
2995000,40.68413,-73.94266,34,True,Bedford-Stuyvesant
3279671,40.75124,-73.99782,6,False,Chelsea
3400739,40.67104721069336,-73.93333435058594,18,True,Crown Heights
3247291,40.81355,-73.94335,37,True,Harlem
3512428,40.82828561241561,-73.95044223332316,24,False,Harlem
3465651,40.54153,-74.16442,27,True,Huguenot
3485449,40.85229,-73.90771,20,False,Mount Hope
3490317,40.68301667665517,-73.93047807281734,50,True,Bedford-Stuyvesant
3527764,40.73784,-73.89794,32,True,Maspeth
3543839,40.8507,-73.90823,26,False,Mount Hope
3554230,40.65512993963559,-73.96035240659246,44,True,Prospect-Lefferts Gardens
3625870,40.65022689222399,-74.00612960565475,23,True,Sunset Park
3627326,40.81876,-73.92691,34,False,Concourse Village
3659544,40.7650252,-73.9937774,36,False,Hell's Kitchen
3835681,40.77432,-73.91922,24,False,Ditmars Steinway
3685704,40.6888294,-73.94281389999999,21,True,Bedford-Stuyvesant
3850493,40.62265,-73.92658,22,True,Flatlands
3851911,40.68493,-73.94652,27,True,Bedford-Stuyvesant
4121363,40.80711,-73.93784,7,True,East Harlem
