review_year,month_num,month_label,listing_id,name,room_type,neighbourhood_cleansed,review_count,review_scores_rating,price,number_of_reviews_ltm
2020,3,Mar,42645101,Luxury living XL spacious condo. Magnificent views,Entire home/apt,Hell's Kitchen,7,4.97,1700.0,10.0
2020,3,Mar,34737998,Beautiful Studio Steps from Q Train (Orange),Entire home/apt,Flatbush,7,4.92,98.0,4.0
2020,3,Mar,39380947,A sanctuary away from home,Private room,Jamaica,7,4.89,79.0,68.0
2020,4,Apr,34071691,City Queen,Hotel room,SoHo,15,4.57,,0.0
2020,4,Apr,38496782,Spacious Newly Renovated 2 bedroom Apt,Entire home/apt,Canarsie,10,4.69,69.0,0.0
2020,4,Apr,22167066,Spacious & Private Harlem/Washington Heights Room,Private room,Harlem,9,4.69,,0.0
2020,4,Apr,20970822,Pet & Tony's Residence,Entire home/apt,East Flatbush,7,4.93,100.0,0.0
2020,4,Apr,40986707,Townhouse 25 to 30 minutes from JFK,Private room,East New York,7,4.89,218.0,0.0
2020,4,Apr,9788114,The Grand Suite,Private room,Concourse,7,4.79,125.0,83.0
2020,4,Apr,30423106,Lou's Palace & Retreat Unit1A-Near JFK,Private room,Rosedale,6,4.93,90.0,84.0
2020,4,Apr,18583467,Room for 1 or 2 in art-filled apt. Monthly for 1,Private room,Washington Heights,6,4.93,72.0,0.0
2020,4,Apr,35085826,A Simple Studio/JFK abt 5mi,Entire home/apt,St. Albans,6,4.9,132.0,0.0
2020,4,Apr,35154803,Luxury City Suites Steps from Central Park,Private room,Midtown,6,4.58,339.0,13.0
2020,4,Apr,21282152,Calm NYC Place 3mins to Subway 12mins to Manhattan,Private room,Ridgewood,6,4.47,58.0,2.0
2020,4,Apr,42362567,Cozy and clean Entire place 10min to LGA/ US Open,Entire home/apt,College Point,5,4.7,,0.0
2020,4,Apr,34071700,Courtyard Queen ADA,Hotel room,SoHo,5,4.42,,0.0
2020,4,Apr,40030465,Brand New Apartment in a Townhouse with Garden,Entire home/apt,Jackson Heights,4,4.98,275.0,0.0
2020,4,Apr,26682755,Comfy convenient apt 3 block from Main st Flushing,Entire home/apt,Flushing,4,4.94,,0.0
2020,4,Apr,17266124,Shay's Place #1 ( 1 Bdrm. Apt ) 5 mins From JFK,Entire home/apt,Springfield Gardens,4,4.92,78.0,5.0
2020,4,Apr,36875336,Sunny Room 2 min walk to the A&C train w/WiFi1,Private room,Bedford-Stuyvesant,4,4.92,58.0,2.0
2020,4,Apr,29831517,Large private bedroom w/bathroom in private house.,Private room,Canarsie,4,4.87,82.0,73.0
2020,4,Apr,39537097,"Cozy Private studio in Astoria, 20 min to Manhatta",Entire home/apt,Ditmars Steinway,4,4.87,90.0,4.0
2020,4,Apr,31218310,Hello traveling nurse/doctor No CLeaning Fees —-Q,Private room,New Dorp Beach,4,4.84,75.0,2.0
2020,5,May,34071691,City Queen,Hotel room,SoHo,30,4.57,,0.0
2020,5,May,20970822,Pet & Tony's Residence,Entire home/apt,East Flatbush,12,4.93,100.0,0.0
2020,5,May,9788114,The Grand Suite,Private room,Concourse,11,4.79,125.0,83.0
2020,5,May,38496782,Spacious Newly Renovated 2 bedroom Apt,Entire home/apt,Canarsie,11,4.69,69.0,0.0
2020,5,May,34487491,Spacious Luxury King Bed Room,Private room,Midtown,11,4.24,412.0,52.0
2020,5,May,35085826,A Simple Studio/JFK abt 5mi,Entire home/apt,St. Albans,8,4.9,132.0,0.0
2020,5,May,32284162,Unique 2 bedroom apt in the center of Williamsburg,Entire home/apt,Williamsburg,8,4.82,155.0,0.0
2020,5,May,21822619,The Hugh Suite-3mins to JFK,Private room,Springfield Gardens,8,4.49,,0.0
2020,5,May,40197518,"Modern, Cozy Studio Apartment",Entire home/apt,Bull's Head,7,4.9,,0.0
2020,5,May,43034172,Amazing large 2 bedrooms/center of Williamsburg,Entire home/apt,Williamsburg,7,4.85,180.0,4.0
2020,5,May,20480983,Spacious Top Floor Open Loft Suite,Private room,Concourse,7,4.79,110.0,66.0
2020,5,May,31839994,Private House in Flushing overlooking nature park,Entire home/apt,Flushing,7,4.78,149.0,29.0
2020,5,May,14472272,Cozy One bedroom apartment,Entire home/apt,Bedford-Stuyvesant,7,4.72,87.0,1.0
2020,5,May,42473796,Luxury apartment in Hell’s Kitchen / Times Square,Entire home/apt,Hell's Kitchen,7,4.71,,0.0
2020,5,May,41733738,"Cozy Brooklyn Stay Private Bath, Kitchen-Backyard",Entire home/apt,Bergen Beach,7,4.67,187.0,20.0
2020,5,May,41790722,"Top FLoor Condo, 35 mi to City, 10 mi JFK",Entire home/apt,East New York,7,4.64,175.0,0.0
2020,5,May,30557920,Great private place with access to backyard,Private room,Sheepshead Bay,7,4.39,98.0,0.0
2020,5,May,26741585,Super Convenient Park Slope Room (subway - 2 min.),Private room,Gowanus,6,4.96,99.0,62.0
2020,5,May,42002291,Personal Suite & Backyard Oasis,Entire home/apt,Briarwood,6,4.95,125.0,28.0
2020,5,May,40986707,Townhouse 25 to 30 minutes from JFK,Private room,East New York,6,4.89,218.0,0.0
2020,6,Jun,1450862564789069925,Afternoon pineapple treats in the lobby,Private room,Hell's Kitchen,15,4.62,,4.0
2020,6,Jun,34071691,City Queen,Hotel room,SoHo,13,4.57,,0.0
